acronym_1;hourS;minS;hourE;minE;currentC;day;roomID;type_1;nameR
AC3645111326;11;0;12;30;31;3;2448131361185;PROBLEMS;E5
CDI1395111326;14;0;15;30;40;3;2448131361185;PROBLEMS;E5
EO33645111326-2;13;0;14;30;84;3;2448131361580;TEORICA;VA1
HAC3645111326;8;0;9;30;62;3;2448131361580;TEORICA;VA1
HACM3645111326;11;30;13;0;62;3;2448131361580;TEORICA;VA1
MC53645111326;15;0;16;30;30;3;2448131361580;TEORICA;VA1
MC53645111326;16;30;18;0;49;3;2448131361580;TEORICA;VA1
TCN26;10;0;11;30;1;3;2448131361580;TEORICA;VA1
P3D26;14;0;15;30;15;3;2448131361583;TEORICA;VA2
PEM5111326;9;30;11;0;12;3;2448131361583;TEORICA;VA2
SEConf26;12;30;14;0;55;3;2448131361583;TEORICA;VA2
SS7645111326;11;0;12;30;52;3;2448131361583;PROBLEMS;VA2
IOpe31245111326;14;0;15;0;69;3;2448131361602;TEORICA;VA3
IOpe31245111326;13;0;14;0;83;3;2448131361602;TEORICA;VA3
RM26;15;0;16;30;90;3;2448131361602;TEORICA;VA3
AL;15;30;17;0;46;3;2448131361604;PROBLEMS;VA4
CMat5645111326;17;30;19;0;99;3;2448131361604;TEORICA;VA4
M3645111326;9;0;10;0;66;3;2448131361604;TEORICA;VA4
PEst-2;12;0;13;30;147;3;2448131361604;TEORICA;VA4
Qui3645111326;10;0;11;30;134;3;2448131361604;TEORICA;VA4
AE3645111326;12;30;14;0;39;3;2448131361607;TEORICA;VA5
CT3645111326;14;30;16;30;48;3;2448131361607;SEMINARY;VA5
Maq3645111326;16;30;18;0;52;3;2448131361607;TEORICA;VA5
MC5645111326;8;0;9;30;41;3;2448131361607;TEORICA;VA5
Mec26;10;0;11;30;75;3;2448131361607;TEORICA;VA5
MGeo3645111326;10;0;11;30;73;3;2448131361622;TEORICA;VA6
MGeo3645111326;11;30;13;0;90;3;2448131361622;TEORICA;VA6
OGO3645111326;13;0;14;30;61;3;2448131361622;TEORICA;VA6
OGO3645111326;14;30;16;0;66;3;2448131361622;TEORICA;VA6
OSE5111326;16;0;18;0;9;3;2448131361639;TEORICA;V0.15
PU43645111326;9;30;12;30;29;3;2448131361641;PROBLEMS;V0.14
Ast645111326;15;0;17;0;17;3;2448131361644;TEORICA;V0.03
Maq3645111326;18;0;19;30;40;3;2448131361644;PROBLEMS;V0.03
PLig3645111326;12;0;12;30;19;3;2448131361644;LABORATORIAL;V0.03
PLig3645111326;11;0;12;0;19;3;2448131361644;PROBLEMS;V0.03
PPes3645111326;9;0;10;0;0;3;2448131361644;SEMINARY;V0.03
CDI1415111326;14;0;15;30;50;3;2448131361645;PROBLEMS;V0.04
DEst3645111326;16;0;17;30;35;3;2448131361645;PROBLEMS;V0.04
MC5645111326;11;0;12;30;79;3;2448131361645;TEORICA;V0.04
Tra6645111326;9;0;11;0;8;3;2448131361645;TEORICA;V0.04
DA3645111326;15;0;16;0;0;3;2448131361663;LABORATORIAL;V0.10
DA3645111326;14;0;15;0;0;3;2448131361663;TUTORIAL_ORIENTATION;V0.10
DA3645111326;16;0;18;0;0;3;2448131361664;LABORATORIAL;V0.11
DA1326;8;0;11;30;0;3;2448131361665;TUTORIAL_ORIENTATION;V0.12
RI45111326;9;30;12;30;34;3;2448131361666;PROBLEMS;V0.13
AR3645111326;8;0;9;30;42;3;2448131361679;TEORICA;V1.23
CDI1325111326;10;0;11;30;45;3;2448131361679;PROBLEMS;V1.23
Ges53645111326;16;0;17;30;45;3;2448131361679;PROBLEMS;V1.23
Est23645111326;10;0;11;30;34;3;2448131361680;PROBLEMS;V1.24
MA3645111326;14;0;15;30;20;3;2448131361680;PROBLEMS;V1.24
OGO3645111326;17;30;19;0;5;3;2448131361680;PROBLEMS;V1.24
TDig45111326;15;30;17;0;38;3;2448131361680;PROBLEMS;V1.24
AE3645111326;9;30;11;0;23;3;2448131361681;PROBLEMS;V1.25
Biom45111326;13;0;13;30;1;3;2448131361681;LABORATORIAL;V1.25
IOpe31145111326;17;30;19;0;21;3;2448131361681;PROBLEMS;V1.25
TM23645111326;16;0;17;0;40;3;2448131361681;PROBLEMS;V1.25
AE3645111326;12;30;14;0;20;3;2448131361682;PROBLEMS;V1.26
CMat5645111326;14;30;16;0;35;3;2448131361682;PROBLEMS;V1.26
Com5645111326-2;11;0;12;30;15;3;2448131361682;LABORATORIAL;V1.26
MSR3645111326;9;30;11;0;40;3;2448131361682;PROBLEMS;V1.26
PRC3645111326;16;0;17;30;7;3;2448131361682;PROBLEMS;V1.26
CDI1319111326;17;0;18;30;39;3;2448131361683;PROBLEMS;V1.31
