acronym_1;hourS;minS;hourE;minE;currentC;day;roomID;type_1;nameR
AGRP26;16;0;17;30;122;2;2448131365113;TEORICA;A1
AGRP26;15;30;17;0;122;4;2448131365113;TEORICA;A1
CDI39111326;12;30;14;0;111;2;2448131365113;TEORICA;A1
CDI39111326;8;0;9;30;111;4;2448131365113;TEORICA;A1
CS111326;9;30;12;30;87;2;2448131365113;TEORICA;A1
Dir5111326;19;0;20;0;25;5;2448131365113;TEORICA;A1
EEle5111326;13;30;15;0;138;3;2448131365113;TEORICA;A1
EEle5111326;13;30;15;0;138;5;2448131365113;TEORICA;A1
ESof14111326;8;0;9;30;85;3;2448131365113;TEORICA;A1
ESof14111326;8;30;10;0;56;6;2448131365113;TEORICA;A1
IAED10111326;11;0;12;30;119;3;2448131365113;TEORICA;A1
IAED10111326;9;30;11;0;119;5;2448131365113;TEORICA;A1
LP5111326;9;30;11;0;140;3;2448131365113;TEORICA;A1
LP5111326;11;0;12;30;140;5;2448131365113;TEORICA;A1
SDis15111326;11;0;12;30;113;4;2448131365113;TEORICA;A1
SSina10111326;14;0;15;30;128;2;2448131365113;TEORICA;A1
TFT9111326;15;0;16;30;59;5;2448131365113;PROBLEMS;A1
TFT9111326;16;30;18;0;60;3;2448131365113;PROBLEMS;A1
TFT9111326;15;0;16;30;147;3;2448131365113;TEORICA;A1
TFT9111326;16;30;18;0;147;5;2448131365113;TEORICA;A1
ACED25111326;18;30;20;0;238;2;2448131365117;TEORICA;A2
ACED25111326;18;30;20;0;238;4;2448131365117;TEORICA;A2
ACED25111326;17;30;18;30;238;6;2448131365117;TEORICA;A2
AGRP26;15;30;17;0;122;4;2448131365117;TEORICA;A2
AMS111326;11;0;12;30;83;3;2448131365117;TEORICA;A2
AMS111326;11;0;12;30;83;5;2448131365117;TEORICA;A2
ASA10111326;14;0;15;30;126;2;2448131365117;TEORICA;A2
CDI40111326;12;30;13;30;264;2;2448131365117;TEORICA;A2
CDI40111326;8;30;9;30;264;4;2448131365117;TEORICA;A2
EO9111326;15;30;17;0;181;3;2448131365117;TEORICA;A2
EO9111326;14;30;16;0;181;6;2448131365117;TEORICA;A2
ESof14111326;10;0;11;30;85;6;2448131365117;TEORICA;A2
FIO5111326;9;30;11;0;117;3;2448131365117;TEORICA;A2
IPM17111326;17;0;18;30;90;3;2448131365117;TEORICA;A2
IPM17111326;17;0;18;30;90;5;2448131365117;TEORICA;A2
MD5111326;8;0;9;30;121;2;2448131365117;LABORATORIAL;A2
MD5111326;11;0;12;30;123;2;2448131365117;TEORICA;A2
MO15111326;9;30;11;0;121;2;2448131365117;TEORICA;A2
MO15111326;11;0;12;30;121;4;2448131365117;TEORICA;A2
PEst20111326;17;0;18;30;250;2;2448131365117;TEORICA;A2
TCom111326;14;30;15;30;119;3;2448131365117;TEORICA;A2
TCom111326;15;30;16;30;119;5;2448131365117;TEORICA;A2
AL20111326;17;0;18;30;40;3;2448131365119;PROBLEMS;0 - 9
CDI39111326;13;30;15;0;26;5;2448131365119;PROBLEMS;0 - 9
CMat5111326;11;0;12;30;35;2;2448131365119;PROBLEMS;0 - 9
DEle5111326;17;0;19;0;33;5;2448131365119;PROBLEMS;0 - 9
DEle5111326;15;30;17;0;34;5;2448131365119;TEORICA;0 - 9
SPQ26;13;0;14;30;15;2;2448131365119;TEORICA;0 - 9
SSina10111326;15;30;17;0;30;2;2448131365119;PROBLEMS;0 - 9
TCom111326;13;0;14;30;40;3;2448131365119;PROBLEMS;0 - 9
TEM5111326;15;30;16;30;27;4;2448131365119;PROBLEMS;0 - 9
TEM5111326;14;30;16;0;28;6;2448131365119;TEORICA;0 - 9
ACom10111326;11;30;13;0;29;6;2448131365126;PROBLEMS;0 - 13
CDI40111326;11;0;12;30;48;2;2448131365126;PROBLEMS;0 - 13
CDI40111326;13;30;15;0;19;3;2448131365126;PROBLEMS;0 - 13
CDI40111326;9;30;11;0;48;4;2448131365126;PROBLEMS;0 - 13
CMat5111326;14;30;16;0;30;2;2448131365126;PROBLEMS;0 - 13
CMat5111326;15;30;17;0;40;5;2448131365126;PROBLEMS;0 - 13
ESEmb10111326;10;0;11;0;30;6;2448131365126;PROBLEMS;0 - 13
LD26;17;0;17;30;26;3;2448131365126;LABORATORIAL;0 - 13
LD26;16;0;17;0;29;3;2448131365126;PROBLEMS;0 - 13
Micr5111326;17;0;18;30;32;5;2448131365126;PROBLEMS;0 - 13
SSina10111326;12;30;14;0;35;2;2448131365126;PROBLEMS;0 - 13
TFT9111326;10;30;12;0;24;5;2448131365126;PROBLEMS;0 - 13
ACED25111326;17;0;18;30;40;4;2448131365127;PROBLEMS;0 - 15
AGRP26;10;0;11;0;36;4;2448131365127;PROBLEMS;0 - 15
AL20111326;17;0;18;30;26;5;2448131365127;PROBLEMS;0 - 15
CDI40111326;11;0;12;30;48;2;2448131365127;PROBLEMS;0 - 15
CEPAF5111326;15;0;16;30;12;5;2448131365127;PROBLEMS;0 - 15
CMul111326;15;0;16;30;27;3;2448131365127;PROBLEMS;0 - 15
CMul111326;13;30;15;0;28;3;2448131365127;TEORICA;0 - 15
EEle5111326;11;30;13;0;30;3;2448131365127;PROBLEMS;0 - 15
GSE;14;0;15;30;35;4;2448131365127;PROBLEMS;0 - 15
MD5111326;9;30;11;0;40;2;2448131365127;PROBLEMS;0 - 15
SSina10111326;11;30;13;0;35;5;2448131365127;PROBLEMS;0 - 15
TRCom26;13;0;14;30;34;2;2448131365127;TEORICA;0 - 15
ASA10111326;11;30;13;0;34;6;2448131365128;PROBLEMS;0 - 17
Com5645111326;13;30;15;0;33;3;2448131365128;LABORATORIAL;0 - 17
EEle5111326;16;30;18;0;30;3;2448131365128;PROBLEMS;0 - 17
GEst2626;10;0;11;30;30;4;2448131365128;PROBLEMS;0 - 17
SCom10111326;11;0;13;0;40;2;2448131365128;PROBLEMS;0 - 17
SPO26;11;0;11;30;19;5;2448131365128;LABORATORIAL;0 - 17
SPO26;10;0;11;0;19;5;2448131365128;PROBLEMS;0 - 17
TM-TF;9;0;12;30;52;3;2448131365128;LABORATORIAL;0 - 17
ADI26;9;30;11;0;29;3;2448131365129;TEORICA;0 - 19
ADI26;11;0;12;30;29;6;2448131365129;TEORICA;0 - 19
ADSI26;11;0;12;30;43;3;2448131365129;TEORICA;0 - 19
ADSI26;9;30;11;0;43;6;2448131365129;TEORICA;0 - 19
IE26;9;30;11;0;24;2;2448131365129;TEORICA;0 - 19
IE26;12;30;14;0;24;4;2448131365129;TEORICA;0 - 19
AED10111326;16;0;17;0;0;2;2448131365130;LABORATORIAL;0 - 21
AED10111326;12;30;13;30;0;3;2448131365130;LABORATORIAL;0 - 21
AED10111326;17;0;17;30;0;2;2448131365130;PROBLEMS;0 - 21
